"","Title","freq"
"336","지나간다%by%김범수",77
"337","토요일 오후에%by%라즈베리필드",77
"338","그런일은%by%화요비",76
"339","사랑보다 깊은 상처 (duet with 임재범)%by%박정현",76
"340","천생연분 (Rave)%by%솔리드(Solid)",76
"341","그리고, 남겨진 것들%by%넬(Nell)",75
"342","그리워%by%메이트(Mate)",75
"343","복숭아%by%아이유(IU)",75
"344","사랑 Two%by%윤도현",75
"345","슬픔활용법%by%김범수",75
"346","정류장%by%버스커 버스커(Busker Busker)",75
"347","Must Have Love (우리들의 겨울)%by%SG워너비",74
"348","그대 (Original ver.)%by%브라운 아이드 소울(Brown Eyed Soul)",74
"349","그대 내게 다시 (Guitar ver.)%by%럼블 피쉬(Rumble Fish)",74
"350","그때 또 다시 (Again)%by%임창정",74
"351","남자답게%by%플라이 투 더 스카이(Fly To The Sky)",74
"352","내사랑 내곁에%by%김현식",74
"353","아니면서%by%성시경",74
"354","집에 가지마%by%G-DRAGON",74
"355","그대 내품에%by%유재하",73
"356","바야흐로 사랑의 계절 (With 박새별)%by%이한철",73
"357","산들산들%by%언니네 이발관",73
"358","얼음연못%by%두번째 달",73
"359","여름 안에서%by%듀스(Deux)",73
"360","유자차%by%브로콜리너마저",73
"361","1994년 어느 늦은 밤%by%장혜진",72
"362","Hawaian Couple (영화 '내 사랑' 주제곡, 에뛰드 복숭아송 원곡)%by%허밍 어반 스테레오(Humming Urban Stereo)",72
"363","듣는편지%by%40(포티)",72
"364","봄봄봄%by%로이킴",72
"365","사랑해 그리고 기억해%by%지오디(god)",72
"366","아틀란티스 소녀%by%보아(BoA)",72
"367","언젠가는%by%나얼(Na-Ul)",72
"368","자기야 여보야 사랑아%by%린(LYn)",72
"369","Can't Nobody%by%투애니원(2NE1)",71
"370","Poison%by%엄정화",71
"371","Without You%by%원타임(1TYM)",71
"372","꿈에선 놀아줘%by%루싸이트 토끼",71
"373","나에게로 떠나는 여행%by%버즈(Buzz)",71
"374","내 눈에는 (feat. 이재훈)%by%싸이(Psy)",71
"375","다시 사랑한다면%by%도원경",71
"376","동경소녀%by%버스커 버스커(Busker Busker)",71
"377","요즘 너 말야 (Album Edit)%by%제이레빗(J Rabbit)",71
"378","운명%by%쿨(COOL)",71
"379","고백%by%박혜경",70
"380","난 좋아%by%정준일 [메이트]",70
"381","누구보다 널 사랑해%by%비쥬(Bijou)",70
"382","니가 싫어%by%어반 자카파(Urban Zakapa)",70
"383","대화가 필요해%by%바닐라 어쿠스틱(Vanilla Acoustic)",70
"384","또 한번 사랑은 가고%by%이기찬",70
"385","로맨틱 겨울 (feat. 김진호 Of SG워너비)%by%김진표(JP)",70
"386","멍%by%김현정",70
"387","미리 메리 크리스마스 (feat. 천둥 Of MBLAQ)%by%아이유(IU)",70
"388","사랑... 그게 뭔데%by%양파",70
"389","사랑한 후에%by%박효신",70
"390","서시%by%신성우",70
"391","안녕 나의 사랑%by%성시경",70
"392","행복한 나를 (feat. 존박)%by%허각",70
"393","흰눈%by%이루(Eru)",70
"394","거짓말%by%BIGBANG",69
"395","그 노래%by%존 박(John Park)",69
