Rank,Title,Artist,Date
67,넌 나 어때,406호 프로젝트,20150711
68,강남스타일,싸이(Psy),20150711
69,"그대와 나, 설레임 (feat. 소울맨)",어쿠스틱 콜라보(Acoustic Collabo),20150711
70,잘못된 만남,김건모,20150711
71,나 요즘,바닐라 어쿠스틱(Vanilla Acoustic),20150711
72,딱좋아,참깨와 솜사탕,20150711
73,사이드미러걸 (feat. 산체스 Of 팬텀),루이 (긱스),20150711
74,비가 온다,강승윤 [WINNER],20150711
75,Something,걸스데이(Girl's Day),20150711
76,Come Back Home,투애니원(2NE1),20150711
77,널 어쩌면 좋을까,김예림 [투개월],20150711
78,이름이 뭐예요?,포미닛(4minute),20150711
79,Can't Nobody,투애니원(2NE1),20150711
80,안녕이라고 말하지마,다비치,20150711
81,Twist King,터보(Turbo),20150711
82,사랑이 지나가면,아이유(IU),20150711
83,그땐 그땐 그땐,슈프림팀(Supreme Team),20150711
84,딱 한마디만 해줄래,자람 프로젝트(Jaram Project),20150711
85,바라만 봐도 좋은데,노리플라이(no reply),20150711
86,너랑 나,아이유(IU),20150711
87,Style,라니아(Rania),20150711
88,Summer Dream,소찬휘,20150711
89,결혼까지 생각했어,휘성,20150711
90,Hush (Party ver.),미쓰 에이(miss A),20150711
91,Viva 청춘,딕펑스(Dick Punks),20150711
92,우산 (feat. 윤하),에픽 하이(Epik High),20150711
93,내 여자라니까,이승기,20150711
94,뜨거운 안녕 (feat. 성시경),싸이(Psy),20150711
95,이럴거면,아이비(IVY),20150711
96,우산,윤하(Younha/ユンナ),20150711
97,말해줘요,걸스데이(Girl's Day),20150711
98,인연,윤민수,20150711
99,그대 내게 다시,이기찬,20150711
100,별 짓 다해봤는데,알리(Ali),20150711
1,너의 의미 (feat. 김창완),아이유(IU),20150712
2,벌써 1년,윤건,20150712
3,한여름밤의 꿀,산이(San E),20150712
4,금요일에 만나요 (feat. 장이정 Of History),아이유(IU),20150712
5,썸 (feat. 릴보이 Of 긱스),소유,20150712
6,처음엔 사랑이란게,버스커 버스커(Busker Busker),20150712
7,NoNoNo,에이핑크(Apink),20150712
